Antônio Gomes,Antônio Gomes.1
Antônio Gomes,Antônio Gomes
Vice-governador da Paraíba,Vice-governador da Paraíba
Período,1986–1987
Antecessor(a),José Carlos da Silva Júnior
Sucessor(a),Raimundo Asfora[nota 1]
Deputado federal pela Paraíba,Deputado federal pela Paraíba
Período,1975–1986
Dados pessoais,Dados pessoais
Nascimento,"15 de março de 1917 Umbuzeiro, PB"
Morte,Data não disponível Local não disponível
Cônjuge,Ássima Hamad Gomes
Partido,"ARENA, PDS, PFL"
Profissão,"agricultor, comerciário, empresário"
