Antonio Mariz,Antonio Mariz.1
Antonio Mariz,Antonio Mariz
44º Governador da Paraíba,44º Governador da Paraíba
Período,1 de janeiro de 1995 até 16 de setembro de 1995
Antecessor(a),Cícero Lucena
Sucessor(a),José Maranhão
Senador pela Paraíba,Senador pela Paraíba
Período,1 de janeiro de 1991 até 31 de dezembro de 1994
Deputado federal pela Paraíba,Deputado federal pela Paraíba
Período,1 de fevereiro de 1971 até 31 de janeiro de 19831 de fevereiro de 1987 até 31 de dezembro de 1990
Prefeito de Sousa,Prefeito de Sousa
Período,1963 até 1969
Dados pessoais,Dados pessoais
Nome completo,Antonio Marques da Silva Mariz
Nascimento,"5 de dezembro de 1937 João Pessoa, Paraíba"
Morte,"16 de setembro de 1995 (57 anos) João Pessoa, Paraíba"
Nacionalidade,brasileiro
Progenitores,Mãe: Noemi de Holanda MarizPai: José Marques da Silva Mariz
Cônjuge,Mabel Mariz
Partido,PTB (1962-1965)ARENA (1966-1979)PP (1980-1982)PMDB (1982-1995)
Profissão,Advogado e promotor de justiça
