João Agripino Filho,João Agripino Filho.1
João Agripino Filho,João Agripino Filho
1º Ministro de Minas e Energia do Brasil,1º Ministro de Minas e Energia do Brasil
Período,2 de fevereiro de 1961 até 28 de agosto de 1961
Presidente,Jânio Quadros
Sucessor(a),Gabriel Passos
Senador pela Paraíba,Senador pela Paraíba
Período,1 de fevereiro de 1963 até 30 de janeiro de 1966
Deputado Federal pela Paraíba,Deputado Federal pela Paraíba
Período,5 de fevereiro de 1946 até 2 de fevereiro de 1961
Período,28 de agosto de 1961 até 1 de fevereiro de 1963
Período,1 de fevereiro de 1983 até 31 de janeiro de 1987
33° Governador da Paraíba,33° Governador da Paraíba
Período,31 de janeiro de 1966 até 15 de março de 1971
Antecessor(a),Pedro Moreno Gondim
Sucessor(a),Ernâni Aires Sátiro e Sousa
Dados pessoais,Dados pessoais
Nascimento,"1 de março de 1914 Brejo do Cruz, Paraíba"
Morte,"6 de fevereiro de 1988 (73 anos) Rio de Janeiro, RJ"
Progenitores,Mãe: Angelina Mariz MaiaPai: João Agripino Maia de Vasconcelos II
Alma mater,Faculdade de Direito do Recife
Cônjuge,Maria de Lourdes Bonavides Maia
Partido,UDN (1945-1965) ARENA (1965-1979) PP (1981-1982) PMDB (1982-1988)
Profissão,Magistrado e político
,
