Lúcia Braga,Lúcia Braga.1
Lúcia Braga,Lúcia Braga
Deputada federal pela Paraíba,Deputada federal pela Paraíba
Período,1987-19952003-2007
Deputada estadual pela Paraíba,Deputada estadual pela Paraíba
Período,1999-2003
Dados pessoais,Dados pessoais
Nascimento,"13 de dezembro de 1934 João Pessoa, PB"
Morte,"8 de maio de 2020 (85 anos) João Pessoa, PB"
Alma mater,Universidade Federal da Paraíba
Cônjuge,Wilson Braga
Partido,PDS (1982-1986) PFL (1986-1988)PDT (1988-1997)PSB (1997-1998)PSL (1998-1999)PSD (1999-2003)PMDB (2003-2011)PSD (2011-2015)PDT (2015-2020)
Profissão,assistente social
