Petrônio Figueiredo,Petrônio Figueiredo.1
Petrônio Figueiredo,Petrônio Figueiredo
Deputado federal pela Paraíba,Deputado federal pela Paraíba
Período,1967-1975
Deputado estadual pela Paraíba,Deputado estadual pela Paraíba
Período,1959-1963
Vereador de Campina Grande,Vereador de Campina Grande
Período,1951-1955
Dados pessoais,Dados pessoais
Nascimento,"7 de junho de 1929 Campina Grande, PB"
Morte,"13 de setembro de 1975 (46 anos) Brasília, DF"
Alma mater,Universidade Federal de Pernambuco
Cônjuge,Teresa Nunes de Figueiredo
Partido,"UDN, PSP, PTB, MDB"
Profissão,advogado
